
#| insert | 10 | 16.5 | 6060 | 70%
#| select | 10 | 32 | 3125 | 90%
#| update | 10 | 17 | 5880 | 92%
#| portal(1k) | 10 | 144  | 694 | 94%
#| portal(2k) | 10 | 150  | 667 | 94%
#| portal(4k) | 10 | 161  | 625 | 95%
#| portal(8k) | 10 | 170  | 588 | 95%
#| portal(16k) | 10 | 189  | 529 | 95%

1k 694 
2k 667
4k 625
8k 588
16k 529

